review_id,review_text,topic_number,topic_name,topic_description
90,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and it lacks ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
91,"Having received my Fire TV today, I've been trying it out for the past couple of hours.br /br /Setup was a no brainer. It required an update immediately so it did take about 15 minutes to have it in action but the process was very simple.br /br /The image quality (movies and games) is excellent. I've tried several movies from Amazon Prime and they look and sound nearly Blu Ray quality as far as I can tell.br /br /Navigation is very straightforward and it's generally easy to find anything you're ...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
92,"I am not a casual user of on-demand content and devices. Having tried smart tv's from 3 brands, smart dvd/bluray players, Apple TV, WDTV, HTPC, Chromecast and too many other competing products to mention--for streaming content, before this box you really had two options (for a simple to use box that doesn't require additional items or tweaking):br /br /First is Apple TV which is easy to use (interface) but Apple limits the content you can get greatly (including no Prime Streaming built in) and i...",2,Streaming Devices,"The topic revolves around the discussion of streaming devices, focusing on their features, content availability, and user experience."
93,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a ...",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
94,"I am thoroughly impressed with my Echo Dot and this case takes it to the next level by appearing as a much higher end product vs. a nerdy plastic computer sitting on your kitchen countertop. The construction is solid and it is slightly lifted to still allow audio access from the bottom of the Echo. This case/cover will give your Echo the needed extra touch allowing it to blend in, but still offer the great functionality of Alexa.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
95,"I love everything about this case except for how it fits on the Echo Dot. I was expecting a snug fit however, it is very lose and so you have to make sure that if you pick it up to move it (and the power cable is disconnected), the dot will fall out of the case.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
96,"Major fan, didn't buy this because of protection, bought it cause it will blend in to my decor. It is not a skin, so it's not skin tight. Yes it's loose but how often will you grab it and move it. Me maybe once every year.",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
97,Like a previous reviewer mentioned it is fabric over hard plastic it is not a snug or tight fit. Good quality though.,-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
98,"Echo Dot in my GMC Sierra Denali. At first she was just there with no support. She sat in that hole with no protection. Shifting, jiggling not knowing what can happen. There has to be something I can do. I looked and search and what I found is the Fabric Case for Alexa. This is it! A support she will be happy to wear. No more accidental popping out, no more shifting and readjusting, she is finally safe.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
99,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
100,A great looking cover for the Echo Dot. It gives the Dot a softer and more elegant look. I feel that it is a little pricy for what you get but I do not regret my decision to buy this case.,6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
101,This is perfect. A lot of people were commenting that the case falls off and it's not portable. That's not the intended use of the case. It is strictly for decorative use. It look great and comes in several color options. Would definitely purchase again.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
102,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a ...",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
103,"I am updating my review from two months ago.. My initial review for the sling cover was based on first impressions after just receiving it. Today I have been using the Tap and sling daily for over the last two months and I felt like I needed to modify my review. I originally did not recommend this product, but after living with it, and growing to like it, I am changing my recommendation.The truth is, the base and top feel more protected than the appearance would have you believe. I have dropped ...",8,Wireless Tap and Sling,"This topic is primarily about the use, performance, and features of a wireless tap and its protective sling cover."
104,"Sling is simply awesome and so is the Amazon Tap!! My tap arrived this morning along with this sling and I am currently testing both products out as we speak!! This sling allowed me easy access to carry my tap to work today!!One nice thing I like about the tap is that this sling is not required but it is a very nice addition.. It provides great protection for the tap, which is what I needed it for.. My tap is going to be like a mini, portable Sonos for me.. It's going to be a speaker I take with...",8,Wireless Tap and Sling,"This topic is primarily about the use, performance, and features of a wireless tap and its protective sling cover."
105,"Ok first things first, I also own a Echo and if you own a Echo you will love the Tap.Now you will see a lot of reviews around the internet of people saying they wish the Tap was voice enabled like the Echo. I happen to think those people are not completely thinking things through. Because the Echo is not meant to be a mobile device. It generally sits somewhere in your house and the voice command is then a great feature to have. But the Tap is meant to be mobile, and therefore I am happy it's not...",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
106,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
107,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
108,"After 15 months, my 500+ tablet is no longer useable. It is stuck on the boot screen. I invested a lot of into Amazon movies and books. This stinks.",-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
109,"Cons:1. Built on Android does not mean you can have Google Play Apps. This is an unfortunate inconvenience, as there are some Google Apps that are just better than their Amazon App counterparts, and a few that I can not find within the Amazon Apps. If you want a fully functional tablet, then buy a tablet and download the free kindle app. If you want to pay more for something that does less, then the kindle is for you. This was a gift, so I will keep it, and continue to use my phone for the rest ...",-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
110,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
111,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
112,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
113,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
114,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
115,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
116,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
117,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
118,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
119,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
120,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
121,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
122,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
123,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
124,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
125,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
126,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
127,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
128,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
129,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
130,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
131,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
132,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
133,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
134,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
135,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
136,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
137,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
138,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
139,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
140,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
141,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
142,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
143,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
144,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
145,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
146,Updated 12/8/2014One year in...This review is for the the no-ad 64 GB wifi-only HDX 8.9.I use a Galaxy S5 Android smartphone so the HDX is for media / web surfing / offline viewing for travel. Since I had already been using Amazon Prime and Prime Music it was a no brainer for me to use the HDX to fill the role of media / web surfing on a tablet.Be informed about the download limitations to this device. Amazon has been adding clarification to this which should help would-be purchasers make a more...,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
147,"Simply put, this is the Amazons iPad Air Killer. The 7 HDX is the iPad mini killer. Both HDXs inherent very similar hardware. This means the 8.9 version is an enlarged version of the 7 version. For my 7 version review, please search for my HDX 7 review.My profile: Im a heavy tablet user for personal and business purposes. I work on my tablet around 4-5 hours a day (Email / Documents / Spreadsheet / PDF) use the tablet 1-2 hours for personal use such as watching movies or reading books/magazine. ...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
148,"If you like the Kindle Fire HD then you will love the Kindle Fire HDX. The new device runs three times faster, is lighter in weight, and the battery lasts slightly longer. The sound quality on this device is excellent and the display quality is absolutely stunning. Below are some of the features to expect from the Fire HDX. BUILD QUALITY---There is NO blue haze on the 8.9 HDX.---The build quality is excellent.---Auto contrast is good (not buggy).---Operating system is very intuitive except after...",1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
149,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a ...",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
150,"I am thoroughly impressed with my Echo Dot and this case takes it to the next level by appearing as a much higher end product vs. a nerdy plastic computer sitting on your kitchen countertop. The construction is solid and it is slightly lifted to still allow audio access from the bottom of the Echo. This case/cover will give your Echo the needed extra touch allowing it to blend in, but still offer the great functionality of Alexa.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
151,"I love everything about this case except for how it fits on the Echo Dot. I was expecting a snug fit however, it is very lose and so you have to make sure that if you pick it up to move it (and the power cable is disconnected), the dot will fall out of the case.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
152,"Major fan, didn't buy this because of protection, bought it cause it will blend in to my decor. It is not a skin, so it's not skin tight. Yes it's loose but how often will you grab it and move it. Me maybe once every year.",0,Smart Home Devices,"This topic revolves around the use, functionality, and updates of smart home devices, specifically Amazon's Echo and Tap."
153,Like a previous reviewer mentioned it is fabric over hard plastic it is not a snug or tight fit. Good quality though.,-1,Outlier/No Clear Topic,Review doesn't fit clearly into any topic
154,"Echo Dot in my GMC Sierra Denali. At first she was just there with no support. She sat in that hole with no protection. Shifting, jiggling not knowing what can happen. There has to be something I can do. I looked and search and what I found is the Fabric Case for Alexa. This is it! A support she will be happy to wear. No more accidental popping out, no more shifting and readjusting, she is finally safe.",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
155,Changes the whole look of the Echo ... after i purchased i think i should have gone with the tan leather. But blue is my favorite color and it adds a bit of a pop to a mundane looking black disk! The texture is also really nice feel and look to it!,6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
156,A great looking cover for the Echo Dot. It gives the Dot a softer and more elegant look. I feel that it is a little pricy for what you get but I do not regret my decision to buy this case.,6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
157,This is perfect. A lot of people were commenting that the case falls off and it's not portable. That's not the intended use of the case. It is strictly for decorative use. It look great and comes in several color options. Would definitely purchase again.,1,Kindle Devices,The topic primarily discusses experiences and features of Kindle devices.
158,"I'm a huge fan of the Echo family. I have two Echo's, three Dots and one Tap. No they aren't essential to my life but I love playing music, listening to the news and controlling the Philips Hue smart lights throughout my home. It was a large investment that most of the population won't make - with that being said I am not a huge fan of the way the hockey puck Dots look like. Glossy plastic looks a little cheap to me although it has no effect on the performance of them. Having the Dot cover is a ...",6,Echo Devices and Accessories,"This topic primarily discusses Amazon's Echo devices and their accessories, such as cases. The reviews mention the functionality of the Echo devices, their appearance, and the fit and feel of the cases."
